source,id,issue,solution
GH Discussion,NVIDIA/garak-1048,,Adoption/Enhancment of Security Scanning & Testing Tools
GH Discussion,huggingface/text-generation-inference-1548,Improper authentication and authorization,Implementation of Authentication Mechanisms
GH Discussion,comfyanonymous/ComfyUI-5165,", Deployment misconfigurations, Unaware compromised infrastructures, Using insecure (default) deployment configurations",User Consent and Warning Mechanisms
GH Discussion,ltdrdata/ComfyUI-Manager-890,,"Secure Deployment Strategies, Dependency Source Vetting and Control,  Use of Isolated Processes for Dependencies"
GH Discussion,vllm-project/vllm-11757,System/software arbitrary code execution,
GH Discussion,abetlen/llama-cpp-python-1711,"System/software arbitrary code execution, Outdated third-party dependency/package contains vulnerabilities",
GH Discussion,infiniflow/ragflow-1257,"Outdated third-party dependency/package contains vulnerabilities, Data leakages during model training/inference/usage","Use of Dependency Management Tools,"
GH Discussion,DS4SD/docling-459,", Unauthorized data collection during usage",
GH Discussion,pyannote/pyannote-audio-1401,Unauthorized data collection during usage,
GH Discussion,LAION-AI/Open-Assistant-3404,"Data tampering during deployments, Unaware compromised infrastructures",
GH Discussion,keras-team/keras-20464,"Software Dependencies Compatibility Issues, System/Software unsafe deserialization",
GH Discussion,voicepaw/so-vits-svc-fork-936,"Deployment misconfigurations, Software Dependencies Compatibility Issues",
GH Discussion,NVIDIA/garak-359,,Adoption/Enhancment of Security Scanning & Testing Tools
GH Discussion,idiap/coqui-ai-TTS-105,"Unsafe memory usage, Environmental Compatibility Issues",
GH Discussion,google/jax-17456,"System resource exhaustions, Environmental Compatibility Issues",
GH Discussion,InternLM/lmdeploy-442,Environmental Compatibility Issues,
GH Discussion,jax-ml/jax-13323,System resource exhaustions,
GH Discussion,comfyanonymous/ComfyUI-5274,"Unsafe memory usage, Software Dependencies Compatibility Issues",
GH Discussion,mudler/LocalAI-3887,Environmental Compatibility Issues,
GH Discussion,snakers4/silero-models-224,"File format and loading incompatibility, System resource exhaustions",Modify configurations for enhanced compatibility
GH Discussion,snakers4/silero-models-225,"Unsafe memory usage, Environmental Compatibility Issues",
GH Discussion,SciSharp/LLamaSharp-941,"Harmful/Undesired model output, Failure of Model Generation Control Parameters",
GH Discussion,NVIDIA/garak-915,"Limited capabilities of security tools, Harmful/Undesired model output",Adoption/Enhancment of Security Scanning & Testing Tools
GH Discussion,lllyasviel/ControlNet-369,"Harmful/Undesired model output, Unreliable content filtering mechanism for model output","Implementation of Content Safety Filters/Checkers, Adoption/Enhancment of Security Scanning & Testing Tools"
GH Discussion,leondz/garak-822,,Adoption/Enhancment of Security Scanning & Testing Tools
GH Discussion,TheLastBen/fast-stable-diffusion-1900,Risk of malicious codes in dependencies/plugins,
GH Discussion,ltdrdata/ComfyUI-Manager-1363,"System/software arbitrary code execution, Data leakages during model training/inference/usage, , , Use of untrusted dependency sources, Unaware compromised infrastructures","User Consent and Warning Mechanisms, Dependency Source Vetting and Control"
GH Discussion,NexaAI/nexa-sdk-329,Limited capabilities of security tools,
GH Discussion,Winfredy/SadTalker-273,"Limited capabilities of security tools, Environmental Compatibility Issues",
GH Discussion,kohya-ss/sd-scripts-313,"Limited capabilities of security tools, System/Software unsafe deserialization, Use of untrusted dependency sources, Risk of malicious codes in dependencies/plugins",Dependency Source Vetting and Control
GH Discussion,SciSharp/LLamaSharp-1033,"Unsafe memory usage, System resource exhaustions",
GH Discussion,Tencent/ncnn-3606,"System resource exhaustions, Unsafe memory usage",
GH Discussion,castorini/pyserini-1741,System resource exhaustions,
GH Discussion,MahmoudAshraf97/whisper-diarization-128,"Unreliable content filtering mechanism for model output, Failure of Model Generation Control Parameters",
GH Discussion,w-okada/voice-changer-1447,"Deployment misconfigurations, Improper authentication and authorization",
GH Discussion,Mozilla-Ocho/llamafile-572,,Modify configurations for enhanced security
GH Discussion,Mikubill/sd-webui-controlnet-3032,"System resource exhaustions, Outdated third-party dependency/package contains vulnerabilities",
GH Discussion,Ki6an/fastT5-47,Harmful/Undesired model output,
GH Discussion,LostRuins/koboldcpp-1190,Harmful/Undesired model output,
GH Discussion,nuprl/MultiPL-E-61,"Failure of Model Generation Control Parameters, Flawed or insecure prompt/template design",
GH Discussion,huggingface/text-generation-inference-1412,System/Software unsafe deserialization,"Secure Model Format Adoption, "
GH Discussion,Linaqruf/kohya-trainer-289,System resource exhaustions,
GH Discussion,ACEsuit/mace-161,"Unsafe memory usage, System resource exhaustions, File format and loading incompatibility",
GH Discussion,TencentARC/GFPGAN-567,System resource exhaustions,
GH Discussion,InternLM/lmdeploy-520,"System resource exhaustions, Deployment misconfigurations",
GH Discussion,google/jax-13323,System resource exhaustions,
GH Discussion,comfyanonymous/ComfyUI-5924,System resource exhaustions,
GH Discussion,mcmonkeyprojects/SwarmUI-299,Deployment misconfigurations,Modify configurations for enhanced security
GH Discussion,JoePenna/Dreambooth-Stable-Diffusion-167,"System resource exhaustions, Deployment misconfigurations, Environmental Compatibility Issues",
GH Discussion,kabachuha/sd-webui-text2video-19,"File format and loading incompatibility, Deployment misconfigurations, Environmental Compatibility Issues",
GH Discussion,kabachuha/sd-webui-text2video-15,"System resource exhaustions, Deployment misconfigurations, Environmental Compatibility Issues",
GH Discussion,internLM/OpenCompass-967,"System resource exhaustions, Environmental Compatibility Issues",
GH Discussion,NVIDIA/garak-253,,"Adoption/Enhancment of Security Scanning & Testing Tools, Adoption of vulnerability disclosure and reporting process"
GH Discussion,AlUlkesh/stable-diffusion-webui-images-browser-4,System/software path traversal,Input Validation and Sanitization
GH Discussion,34j/so-vits-svc-fork-966,"Improper authentication and authorization, Deployment misconfigurations, Environmental Compatibility Issues",
GH Discussion,Bing-su/adetailer-470,"System/Software unsafe deserialization, Limited capabilities of security tools",
GH Discussion,Bing-su/adetailer-476,"System/Software unsafe deserialization, Limited capabilities of security tools",
GH Discussion,Nerogar/OneTrainer-500,Improper authentication and authorization,
GH Discussion,mudler/LocalAI-4783,"Improper authentication and authorization, Deployment misconfigurations",
GH Discussion,NVIDIA/garak-224,Data leakages during model training/inference/usage,"Adoption/Enhancment of Security Scanning & Testing Tools, Adoption of vulnerability disclosure and reporting process"
GH Discussion,Kosinkadink/ComfyUI-AnimateDiff-Evolved-285,"Flawed or insecure prompt/template design, Model input manipulations and evasions","Secure Prompt Formatting Techniques, Input Validation and Sanitization"
GH Discussion,Bing-su/adetailer-680,Software Dependencies Compatibility Issues,
GH Discussion,Mikubill/sd-webui-controlnet-2039,"System/Software unsafe deserialization, System/software arbitrary code execution","Secure Model Format Adoption, "
GH Discussion,MaartenGr/BERTopic-2219,", Data leakages during model training/inference/usage, Deployment misconfigurations, System/Software unsafe deserialization","Implementation of Data Anonymization, Implementation of Data Access Controls/Guardrails, Secure Deployment Strategies, Secure Model Format Adoption, "
GH Discussion,michaelfeil/infinity-173,"System/Software unsafe deserialization, Improper authentication and authorization, System/software arbitrary code execution, Using insecure (default) deployment configurations, Deployment misconfigurations","Secure Model Format Adoption, Secure Deployment Strategies, Dependency Source Vetting and Control"
GH Discussion,coqui-ai/STT-2337,"Using insecure (default) deployment configurations, Unauthorized data collection during usage, Deployment misconfigurations","Implementation of Secure Default Configurations, User Consent and Warning Mechanisms"
GH Discussion,comfyanonymous/ComfyUI-6264,"Improper authentication and authorization, Using insecure (default) deployment configurations, Outdated third-party dependency/package contains vulnerabilities, Deployment misconfigurations","Component Removal/Replacement, Modify configurations for enhanced security"
GH Discussion,ltdrdata/ComfyUI-Manager-1132,"Using insecure (default) deployment configurations, Use of untrusted dependency sources",
GH Discussion,DominikDoom/a1111-sd-webui-tagcomplete-134,"Using insecure (default) deployment configurations, ",Implementation of Secure Default Configurations
GH Discussion,ACEsuit/mace-744,"System/Software unsafe deserialization, System/software arbitrary code execution",
GH Discussion,IGNF/myria3d-76,"Unsafe memory usage, System resource exhaustions, Environmental Compatibility Issues",
GH Discussion,JaidedAI/EasyOCR-1089,Unsafe memory usage,
GH Discussion,nvlabs/instant-ngp-1074,"Environmental Compatibility Issues, Unsafe memory usage",
GH Discussion,NVIDIA/NeMo-5405,"Unsafe memory usage, Software Dependencies Compatibility Issues",
GH Discussion,comfyanonymous/ComfyUI-5334,"Environmental Compatibility Issues, Software Dependencies Compatibility Issues",
GH Discussion,NVIDIA/NeMo-6577,Software Dependencies Compatibility Issues,
GH Discussion,stanfordnlp/CoreNLP-1429,Outdated third-party dependency/package contains vulnerabilities,Dependency Version Upgrade
GH Discussion,comfyanonymous/ComfyUI-6126,"Software Dependencies Compatibility Issues, Outdated third-party dependency/package contains vulnerabilities",Use of Isolated Processes for Dependencies
GH Discussion,synthetichealth/synthea-1145,Outdated third-party dependency/package contains vulnerabilities,Dependency Version Upgrade
GH Discussion,microsoft/onnxruntime-15309,"Deployment misconfigurations, Outdated third-party dependency/package contains vulnerabilities, ","Secure Deployment Strategies, "
GH Discussion,openai/openai-python-1455,"Software Dependencies Compatibility Issues, Exposed system details and information in APIs",
GH Discussion,DS4SD/docling-355,"Insecure communication due to missing certificates or protocols, Deployment misconfigurations",
GH Discussion,thygate/stable-diffusion-webui-depthmap-script-174,"Insecure communication due to missing certificates or protocols, Deployment misconfigurations",
GH Discussion,Mikubill/sd-webui-controlnet-1745,"Insecure communication due to missing certificates or protocols, Outdated third-party dependency/package contains vulnerabilities, Deployment misconfigurations",
GH Discussion,synthetichealth/synthea-1263,"Insecure communication due to missing certificates or protocols, Deployment misconfigurations",
GH Discussion,facebookresearch/esm-665,"Insecure communication due to missing certificates or protocols,",
GH Discussion,Bing-su/adetailer-563,"System/Software unsafe deserialization, System/software arbitrary code execution, Limited capabilities of security tools",
GH Discussion,TheLastBen/fast-stable-diffusion-525,"System/Software unsafe deserialization, System/software arbitrary code execution, , Use of untrusted dependency sources","Secure Model Format Adoption, Dependency Source Vetting and Control, Adoption/Enhancment of Security Scanning & Testing Tools, "
GH Discussion,LostRuins/koboldcpp-793,"Limited capabilities of security tools, System/Software unsafe deserialization",
GH Discussion,google/jax-15417,System/Software unsafe deserialization,"Secure Model Format Adoption, Secure Deserialization Practices"
GH Discussion,ThisIs-Developer/Llama-2-GGML-Medical-Chatbot-47,"System/Software unsafe deserialization, System/software arbitrary code execution, Use of untrusted dependency sources","Dependency Source Vetting and Control, Secure Model Format Adoption"
GH Discussion,infiniflow/ragflow-4580,,Adoption/Enhancment of Security Scanning & Testing Tools
HF Discussion,stabilityai/stable-diffusion-xl-base-1.0-100,Improper authentication and authorization,Authorization & Permission Controls
HF Discussion,mistralai/Mistral-7B-Instruct-v0.2-71,Deployment misconfigurations	,Authorization & Permission Controls
HF Discussion,AGBonnet/medinote-7b-3,Security risk from deficient data quality,
HF Discussion,ISTA-DASLab/AQLM-executorch-1,"Environmental Compatibility Issues, ",
HF Discussion,meta-llama/Llama-3.1-8B-Instruct-60,Environmental Compatibility Issues	,
HF Discussion,lmsys/vicuna-33b-v1.3-2,"File format and loading incompatibility, Software Dependencies Compatibility Issues, Environmental Compatibility Issues	",
HF Discussion,mistralai/Mistral-7B-Instruct-v0.2-139,"Harmful/Undesired model output, Failure of Model Generation Control Parameters",
HF Discussion,dunzhang/stella_en_400M_v5-22,"System/software arbitrary code execution, Use of untrusted dependency sources	","Secure Code Execution Implementation, Secure Deployment Strategies"
HF Discussion,TheBloke/Nous-Hermes-13B-GPTQ-6,"Limited capabilities of security tools, System/Software unsafe deserialization", Adoption/Enhancment of Security Scanning & Testing Tools
HF Discussion,minishlab/potion-base-8M-2,Limited capabilities of security tools,
HF Discussion,TheBloke/deepseek-coder-33B-instruct-GGUF-2,"File format and loading incompatibility, Software Dependencies Compatibility Issues, Unsafe memory usage, Harmful/Undesired model output",
HF Discussion,Mozilla/Meta-Llama-3-8B-Instruct-llamafile-1,"Limited capabilities of security tools, System/Software unsafe deserialization",
HF Discussion,OuteAI/OuteTTS-0.1-350M-5,File format and loading incompatibility,
HF Discussion,berkeley-nest/Starling-LM-7B-alpha-18,"Flawed or insecure prompt/template design, Data leakages during model training/inference/usage, Harmful/Undesired model output",
HF Discussion,intfloat/multilingual-e5-base-19,"Outdated third-party dependency/package contains vulnerabilities, Risk of malicious codes in dependencies/plugins, Improper authentication and authorization, Deployment misconfigurations","Secure Code Execution Implementation, Modify configurations for enhanced security"
HF Discussion,bartowski/Meta-Llama-3.1-8B-Instruct-GGUF-7,", Limited capabilities of security tools,","Dependency Source Vetting and Control, "
HF Discussion,bullerwins/Meta-Llama-3.1-8B-Instruct-GGUF-2,", Limited capabilities of security tools",
HF Discussion,TheBloke/zephyr-7B-beta-GGUF-12,", Limited capabilities of security tools",Adoption/Enhancment of Security Scanning & Testing Tools
HF Discussion,FacebookAI/roberta-large-4,,Adoption of vulnerability disclosure and reporting process
HF Discussion,Alpha-VLLM/Lumina-Next-T2I-1,"System/Software unsafe deserialization, Risk of malicious codes in dependencies/plugins","Secure Model Format Adoption, "
HF Discussion,TriadParty/deepsex-34b-8,"System/software arbitrary code execution, ",Secure Code Execution Implementation
HF Discussion,nlpcloud/instruct-gpt-j-fp16-5,"System resource exhaustions, Unsafe memory usage",
HF Discussion,mistralai/Mixtral-8x7B-Instruct-v0.1-202,"Improper authentication and authorization, ",
HF Discussion,mistralai/Mistral-7B-Instruct-v0.2-93,"Improper authentication and authorization, ",
HF Discussion,meta-llama/Llama-3.1-8B-Instruct-107,"Improper authentication and authorization, ",Authorization & Permission Controls
HF Discussion,cognitivecomputations/dolphin-2.0-mistral-7b-3,"Flawed or insecure prompt/template design, File format and loading incompatibility, ",
HF Discussion,mistralai/Mistral-7B-Instruct-v0.3-68,"Flawed or insecure prompt/template design, Software Dependencies Compatibility Issues",
HF Discussion,cgato/TheSpice-7b-v0.1.1-1,"System/Software unsafe deserialization, System/software arbitrary code execution","Secure Model Format Adoption, "
HF Discussion,briaai/BRIA-2.3-ControlNet-Generative-Fill-1,System/Software unsafe deserialization,Secure Model Format Adoption
HF Discussion,stabilityai/stable-diffusion-3-medium-195,"Deployment misconfigurations, ",
HF Discussion,Alibaba-NLP/gte-multilingual-base-22,,"Secure Deployment Strategies, Adoption/Enhancment of Security Scanning & Testing Tools"
HF Discussion,rocca/openai-clip-js-1,"Using insecure (default) deployment configurations, Data leakages during model training/inference/usage",
HF Discussion,mistralai/Mistral-Small-Instruct-2409-10,"Flawed or insecure prompt/template design, Harmful/Undesired model output, Model input manipulations and evasions",Secure Prompt Formatting Techniques
HF Discussion,Delcos/Hentai-Diffusion-12,"Limited capabilities of security tools, System/Software unsafe deserialization, System/software arbitrary code execution, Use of untrusted dependency sources",", Adoption/Enhancment of Security Scanning & Testing Tools"
HF Discussion,Mozilla/llava-v1.5-7b-llamafile-7,"Limited capabilities of security tools, System/Software unsafe deserialization",
HF Discussion,openai/whisper-large-v3-36,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,timdettmers/guanaco-65b-3,"System/Software unsafe deserialization, System/software arbitrary code execution",Secure Model Format Adoption
HF Discussion,mkiani/gpt2-system-1,Unsafe OS command execution and environment variable handling,Secure Code Execution Implementation
HF Discussion,StephanST/WALDO30-2,"System/Software unsafe deserialization, System/software arbitrary code execution, Limited capabilities of security tools","Secure Model Format Adoption, "
HF Discussion,OpenGVLab/InternVideo2-Stage2_1B-224p-f4-1,"System/Software unsafe deserialization, , Limited capabilities of security tools",
HF Discussion,transfo-xl/transfo-xl-wt103-3,Outdated third-party dependency/package contains vulnerabilities,
HF Discussion,AetherArchitectural/Community-Discussions-20,"Limited capabilities of security tools, System/Software unsafe deserialization, File format and loading incompatibility",
HF Discussion,ALmonster/ChemGPT2-QA-72B-1,"System/Software unsafe deserialization, File format and loading incompatibility",Dependency Source Vetting and Control
HF Discussion,GerMedBERT/medbert-512-3,File format and loading incompatibility,Implementation of Data Anonymization
HF Discussion,togethercomputer/RedPajama-INCITE-7B-Instruct-4,Data leakages during model training/inference/usage,Secure Prompt Formatting Techniques
HF Discussion,01-ai/Yi-34B-35,"Deployment misconfigurations, System resource exhaustions",
HF Discussion,chavinlo/alpaca-native-19,"File format and loading incompatibility, Environmental Compatibility Issues",
HF Discussion,meta-llama/Prompt-Guard-86M-15,"Unreliable content filtering mechanism for model output, Model input manipulations and evasions, Limited capabilities of security tools",
HF Discussion,AUTOMATIC/promptgen-lexart-2,"Risk of malicious codes in dependencies/plugins, Limited capabilities of security tools",Secure Model Format Adoption
HF Discussion,Felix92/doctr-torch-parseq-multilingual-v1-1,"Unreliable content filtering mechanism for model output, Deployment misconfigurations",
HF Discussion,CohereForAI/c4ai-command-r-08-2024-3,"Deployment misconfigurations, ",
HF Discussion,FredZhang7/google-safesearch-mini-v2-1,"Deployment misconfigurations, File format and loading incompatibility",
HF Discussion,HuggingFaceM4/idefics-9b-instruct-12,"Deployment misconfigurations, File format and loading incompatibility, System resource exhaustions",Modify configurations for enhanced security
HF Discussion,OpenAssistant/oasst-sft-6-llama-30b-xor-24,"File format and loading incompatibility,  Deployment misconfigurations, Harmful/Undesired model output, Flawed or insecure prompt/template design, Failure of Model Generation Control Parameters",
HF Discussion,Kijai/flux-fp8-4,"Improper authentication and authorization, , Software Dependencies Compatibility Issues, Outdated third-party dependency/package contains vulnerabilities",
HF Discussion,JCTN/pygmalion-13b-4bit-128g-1,Environmental Compatibility Issues,
HF Discussion,Guernika/CoreMLStableDiffusion-36,"File format and loading incompatibility, Software Dependencies Compatibility Issues, Harmful/Undesired model output",
HF Discussion,TheBloke/Pygmalion-7B-SuperHOT-8K-GPTQ-1,"File format and loading incompatibility, Use of untrusted dependency sources, Software Dependencies Compatibility Issues",
HF Discussion,Kijai/flux-fp8-21,"Software Dependencies Compatibility Issues, Outdated third-party dependency/package contains vulnerabilities",Dependency Version Upgrade
HF Discussion,HF1BitLLM/Llama3-8B-1.58-100B-tokens-3,File format and loading incompatibility,
HF Discussion,ByteDance/SDXL-Lightning-25,"Unreliable content filtering mechanism for model output, Deployment misconfigurations",
HF Discussion,BestJammer/HASDX-3,"System resource exhaustions, System/Software unsafe deserialization","Adoption/Enhancment of Security Scanning & Testing Tools, Memory Safety & Resource Management Techniques"
HF Discussion,Aitrepreneur/InstantID-Controlnet-1,"System resource exhaustions, Deployment misconfigurations",Memory Safety & Resource Management Techniques
HF Discussion,asoderznik/sdx4-upscaler-1,"Limited capabilities of security tools, Risk of malicious codes in dependencies/plugins, System/Software unsafe deserialization",
HF Discussion,WarriorMama777/OrangeMixs-81,"Limited capabilities of security tools, System/Software unsafe deserialization",Secure Model Format Adoption
HF Discussion,mistral-community/pixtral-12b-240910-11,Limited capabilities of security tools,
HF Discussion,grimjim/rogue-enchantress-32k-7B-1,"Harmful/Undesired model output, Flawed or insecure prompt/template design, File format and loading incompatibility",
HF Discussion,mlabonne/NeuralMarcoro14-7B-2,"Harmful/Undesired model output, Flawed or insecure prompt/template design, Failure of Model Generation Control Parameters",
HF Discussion,HuggingFaceM4/idefics2-8b-80,Harmful/Undesired model output,Dependency Version Upgrade
HF Discussion,monster-labs/control_v1p_sd15_qrcode_monster-113,"System/Software unsafe deserialization, Risk of malicious codes in dependencies/plugins","Secure Model Format Adoption, "
HF Discussion,WarriorMama777/OrangeMixs-18,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,astronomer/Llama-3-8B-Instruct-GPTQ-8-Bit-2,"System/Software unsafe deserialization, System/software arbitrary code execution","Secure Model Format Adoption, "
HF Discussion,HuggingFaceH4/zephyr-7b-beta-8,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,TencentARC/T2I-Adapter-8,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,fishaudio/fish-speech-1.4-10,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,Alibaba-NLP/new-impl-2,"Deployment misconfigurations, System/software arbitrary code execution, Software Dependencies Compatibility Issues, Deployment misconfigurations","Modify configurations for enhanced security, Secure Deployment Strategies"
HF Discussion,bigscience/bloomz-18,"System resource exhaustions, Environmental Compatibility Issues",
HF Discussion,Aitrepreneur/FLUX-Prompt-Generator-1,"Deployment misconfigurations, Outdated third-party dependency/package contains vulnerabilities, Software Dependencies Compatibility Issues",Secure Deployment Strategies
HF Discussion,CompVis/stable-diffusion-safety-checker-38,Software Dependencies Compatibility Issues,
HF Discussion,Xenova/modnet-4,Software Dependencies Compatibility Issues,
HF Discussion,OpenNLPLab/TransNormerLLM-7B-1,Unsafe OS command execution and environment variable handling,
HF Discussion,JackAnon/GorynichMix-1,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,JackAnon/GorynichMix-2,"System/Software unsafe deserialization, Risk of malicious codes in dependencies/plugins, Limited capabilities of security tools",Secure Model Format Adoption
HF Discussion,flair/ner-english-2,"System/Software unsafe deserialization, Limited capabilities of security tools",
HF Discussion,Kijai/LivePortrait_safetensors-4,"System/Software unsafe deserialization, Limited capabilities of security tools",
HF Discussion,stabilityai/stable-diffusion-x4-upscaler-18,"Limited capabilities of security tools, Risk of malicious codes in dependencies/plugins",
HF Discussion,roubaofeipi/UltraPixel-1,System/Software unsafe deserialization,"Secure Model Format Adoption, "
HF Discussion,chflame163/ComfyUI_LayerStyle-5,Limited capabilities of security tools,
HF Discussion,gsdf/Counterfeit-V2.5-14,Limited capabilities of security tools,
HF Discussion,m4gnett/zeipher-f222-1,"Limited capabilities of security tools, Risk of malicious codes in dependencies/plugins",Adoption/Enhancment of Security Scanning & Testing Tools
GH Issue,AUTOMATIC1111/stable-diffusion-webui-16715,"Outdated third-party dependency/package contains vulnerabilities, System/software open redirect","Dependency Version Upgrade, Input Validation and Sanitization"
GH Issue,CopilotKit/CopilotKit-667,,Adoption of vulnerability disclosure and reporting process
GH Issue,IBM/text-generation-inference-109,"Outdated third-party dependency/package contains vulnerabilities, Unsafe memory usage, System resource exhaustions,  System/software path traversal",Dependency Version Upgrade
GH Issue,LAION-AI/Open-Assistant-3546,Outdated third-party dependency/package contains vulnerabilities	,Dependency Version Upgrade
GH Issue,LibreTranslate/LibreTranslate-287,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions, Unsafe memory usage, System/software arbitrary code execution, System/software path traversal, Unsafe OS command execution and environment variable handling, ","Dependency Version Upgrade, Component Removal/Replacement"
GH Issue,NVIDIA/apex-1552,"Outdated third-party dependency/package contains vulnerabilities, Unsafe memory usage, System resource exhaustions",Dependency Version Upgrade
GH Issue,PaddlePaddle/PaddleNLP-4040,"Outdated third-party dependency/package contains vulnerabilities, System/software path traversal, Data leakages during model training/inference/usage",Dependency Version Upgrade
GH Issue,QwenLM/Qwen2-1180,"Outdated third-party dependency/package contains vulnerabilities, System/software arbitrary code execution, Security risk from deficient data quality, Unsafe memory usage",Dependency Version Upgrade
GH Issue,RVC-Project/Retrieval-based-Voice-Conversion-WebUI-2447,,Adoption of vulnerability disclosure and reporting process
GH Issue,Sanster/lama-cleaner-334,"Outdated third-party dependency/package contains vulnerabilities, System/software arbitrary code execution",Dependency Version Upgrade
GH Issue,bmaltais/kohya_ss-2663,"Outdated third-party dependency/package contains vulnerabilities, System/software path traversal",Dependency Version Upgrade
GH Issue,danielgatis/rembg-657,,Adoption of vulnerability disclosure and reporting process
GH Issue,deepinsight/insightface-2167,"Outdated third-party dependency/package contains vulnerabilities, Data tampering during deployments",Dependency Version Upgrade
GH Issue,deepset-ai/haystack-7336,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions",Dependency Version Upgrade
GH Issue,deepset-ai/haystack-8691,"Outdated third-party dependency/package contains vulnerabilities, System/Software unsafe deserialization",Secure Code Execution Implementation
GH Issue,gradio-app/gradio-10110,Outdated third-party dependency/package contains vulnerabilities,Dependency Version Upgrade
GH Issue,h2oai/h2o-llmstudio-633,"Outdated third-party dependency/package contains vulnerabilities, System resource exhaustions, Unsafe memory usage, Security risk from deficient data quality, System/software arbitrary code execution",
